"Part";"Value";"Device";"Package";"Description";"FARNELL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"100uF";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"1281843";"";"";"";"";
"C2";"1000uF";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"2346582";"";"";"";"";
"D1";"MUR410G";"SCHOTTKY-DIODEDO201T15";"DO201T15";"Schottky Diode";"1459145";"";"";"";"";
"D2";"1N4007";"1N4004";"DO41-10";"DIODE";"9565051";"";"";"";"";
"D3";"1N4007";"1N4004";"DO41-10";"DIODE";"9565051";"";"";"";"";
"D4";"1N4007";"1N4004";"DO41-10";"DIODE";"9565051";"";"";"";"";
"DC1";"NME0512D";"NME";"NME";"DC-DC CONVERTER";"1021457";"C & D TECHNOLOGIES, INC";"NME1205D";"1021466";"98B8198";
"IC1";"LM2576HV";"LM2576-T05A";"TO-220-5_IN-LINE";"LM2576/LM2576HV Series";"1469176";"";"";"";"";
"IC2";"74HC14N";"74HC14N";"DIL14";"Hex schmitt trigger INVERTER";"1739974";"";"";"";"";
"IC3";"74HC14N";"74HC14N";"DIL14";"Hex schmitt trigger INVERTER";"1739974";"";"";"";"";
"IC4";"74HCT244N";"74HCT244N";"DIL20";"Octal BUFFER and LINE DRIVER, 3-state";"382267";"";"";"";"";
"IC5";"74HCT244N";"74HCT244N";"DIL20";"Octal BUFFER and LINE DRIVER, 3-state";"382267";"";"";"";"";
"IC6";"74HC14N";"74HC14N";"DIL14";"Hex schmitt trigger INVERTER";"1739974";"";"";"";"";
"IC7";"LM1458N";"LM1458N";"DIL08";"OP AMP";"";"";"";"";"";
"J1";"22-27-2041-04";"22-27-2041-04";"6410-04";"CONNECTOR";"9731164";"";"";"unknown";"unknown";
"J2";"22-27-2041-04";"22-27-2041-04";"6410-04";"CONNECTOR";"9731164";"";"";"unknown";"unknown";
"J3";"22-27-2041-04";"22-27-2041-04";"6410-04";"CONNECTOR";"9731164";"";"";"unknown";"unknown";
"J4";"22-27-2041-04";"22-27-2041-04";"6410-04";"CONNECTOR";"9731164";"";"";"unknown";"unknown";
"J5";"22-27-2041-04";"22-27-2041-04";"6410-04";"CONNECTOR";"9731164";"";"";"unknown";"unknown";
"J6";"22-27-2031-03";"22-27-2031-03";"6410-03";"CONNECTOR";"9731156";"";"";"unknown";"unknown";
"J7";"22-27-2031-03";"22-27-2031-03";"6410-03";"CONNECTOR";"9731156";"";"";"unknown";"unknown";
"J8";"22-27-2031-03";"22-27-2031-03";"6410-03";"CONNECTOR";"9731156";"";"";"unknown";"unknown";
"J9";"22-27-2031-03";"22-27-2031-03";"6410-03";"CONNECTOR";"";"";"";"unknown";"unknown";
"J10";"22-27-2031-03";"22-27-2031-03";"6410-03";"CONNECTOR";"9731156";"";"";"unknown";"unknown";
"J11";"22-27-2031-03";"22-27-2031-03";"6410-03";"CONNECTOR";"9731156";"";"";"unknown";"unknown";
"J12";"22-27-2031-03";"22-27-2031-03";"6410-03";"CONNECTOR";"9731156";"";"";"unknown";"unknown";
"J13";"22-27-2031-03";"22-27-2031-03";"6410-03";"CONNECTOR";"9731156";"";"";"unknown";"unknown";
